policy,sid,turn,arrival_s,node,history_blocks,missing_blocks,recovery,ttft_s,slo_success,seed
eager_full,20,5,122.0,3,52,51,transfer,2.7166666666666663,0,2
eager_full,30,5,126.0,2,62,0,hit,0.16666666666666666,1,2
eager_full,12,4,126.5,3,48,47,transfer,2.6833333333333336,0,2
eager_full,2,5,127.5,0,64,64,transfer,3.4083333333333337,0,2
eager_full,36,2,127.5,2,29,0,hit,0.20833333333333334,1,2
eager_full,28,5,130.0,3,72,71,transfer,3.8,0,2
eager_full,16,3,133.0,1,33,0,hit,0.25,1,2
eager_full,8,5,136.0,0,58,58,recompute,5.166666666666666,0,2
eager_full,7,4,140.0,2,41,40,transfer,2.3333333333333335,0,2
eager_full,21,5,141.5,3,46,45,transfer,2.625,0,2
eager_full,36,3,143.0,0,40,0,hit,0.375,1,2
eager_full,16,4,146.5,1,43,0,hit,0.20833333333333334,1,2
eager_full,12,5,147.0,3,61,60,transfer,3.2916666666666665,0,2
eager_full,5,6,148.5,0,70,70,transfer,3.8333333333333335,0,2
eager_full,33,3,152.0,1,37,37,recompute,3.375,0,2
eager_full,23,4,152.5,3,49,48,transfer,2.525,0,2
eager_full,32,3,152.5,2,35,34,transfer,2.033333333333333,0,2
eager_full,19,3,155.5,0,39,39,transfer,2.283333333333333,0,2
eager_full,12,6,157.0,3,75,0,hit,0.375,1,2
eager_full,36,4,160.5,1,55,0,hit,0.20833333333333334,1,2
eager_full,16,5,167.0,1,50,35,transfer,1.875,1,2
eager_full,19,4,170.0,0,51,0,hit,0.3333333333333333,1,2
eager_full,33,4,175.0,1,47,0,hit,0.16666666666666666,1,2
eager_full,32,4,178.0,2,45,0,hit,0.16666666666666666,1,2
eager_full,32,5,190.0,2,51,0,hit,0.20833333333333334,1,2
eager_full,33,5,195.0,0,55,0,hit,0.3333333333333333,1,2
repkv,11,0,0.0,0,0,0,hit,0.625,1,2
repkv,24,0,0.5,1,0,0,hit,0.5416666666666666,1,2
repkv,17,0,1.0,2,0,0,hit,0.4583333333333333,1,2
repkv,39,0,1.0,3,0,0,hit,0.5416666666666666,1,2
repkv,0,0,2.0,0,0,0,hit,0.5416666666666666,1,2
repkv,26,0,3.0,0,0,0,hit,0.5416666666666666,1,2
repkv,2,0,3.5,1,0,0,hit,0.5833333333333334,1,2
repkv,6,0,5.0,0,0,0,hit,0.4583333333333333,1,2
repkv,18,0,5.0,1,0,0,hit,0.4166666666666667,1,2
